date,PM
2022-06-13,8
2022-06-14,10
2022-06-15,7
2022-06-16,8
2022-06-17,8
2022-06-18,7
2022-06-19,7
2022-06-20,6
2022-06-21,9
2022-06-22,9
2022-06-23,10
2022-06-24,12
2022-06-25,9
2022-06-26,6
2022-06-27,9
2022-06-28,7
2022-06-29,7
2022-06-30,7
2022-07-01,8
2022-07-02,5
2022-07-03,8
2022-07-04,6
2022-07-05,9
2022-07-06,10
2022-07-07,6
2022-07-08,6
2022-07-09,4
2022-07-10,4
2022-07-11,8
2022-07-12,6
2022-07-13,4
2022-07-14,4
2022-07-15,6
2022-07-16,8
2022-07-17,10
2022-07-18,8
2022-07-19,7
2022-07-20,7
2022-07-21,5
2022-07-22,3
2022-07-23,4
2022-07-24,6
2022-07-25,8
2022-07-26,8
2022-07-27,11
2022-07-28,11
2022-07-29,13
2022-07-30,11
2022-07-31,6
2022-08-01,6
2022-08-02,8
2022-08-03,5
2022-08-04,5
2022-08-05,4
2022-08-06,7
2022-08-07,7
2022-08-08,5
2022-08-09,5
2022-08-10,4
2022-08-11,5
2022-08-12,7
2022-08-13,6
2022-08-14,10
2022-08-15,5
2022-08-16,5
2022-08-17,5
2022-08-18,8
2022-08-19,7
2022-08-20,6
2022-08-21,4
2022-08-22,8
2022-08-23,10
2022-08-24,13
2022-08-25,5
2022-08-26,9
2022-08-27,6
2022-08-28,11
2022-08-29,10
2022-08-30,9
2022-08-31,9
2022-09-01,7
2022-09-02,11
2022-09-03,7
2022-09-04,5
2022-09-05,8
2022-09-06,12
2022-09-07,26
2022-09-08,16
2022-09-09,8
2022-09-10,5
2022-09-11,5
2022-09-12,7
2022-09-13,11
2022-09-14,11
2022-09-15,9
2022-09-16,10
2022-09-17,12
2022-09-18,10
2022-09-19,11
2022-09-20,8
2022-09-21,15
2022-09-22,8
2022-09-23,8
2022-09-24,6
2022-09-25,3
2022-09-26,5
2022-09-27,13
2022-09-28,19
2022-09-29,8
2022-09-30,3
2022-10-01,5
2022-10-02,4
2022-10-03,5
2022-10-04,7
2022-10-05,8
2022-10-06,8
2022-10-07,9
